folder,piece,location,total_natural,stones,weeds,twigs,grass,trees,bushes,clumps,clump_tiles,extent_w,extent_h,area_tiles,min_x,max_x,min_y,max_y,clump_breakdown
01Farm,Farm19,Farm,1608,322,548,157,412,125,5,39,156,75,56,4200,3,77,6,61,stonex19; twigx6; weedx14
01Farm,Farm20,Farm,1609,320,549,159,406,131,5,39,156,75,56,4200,3,77,6,61,stonex19; twigx6; weedx14
01Farm,Farm21,Farm,1607,318,550,151,415,129,5,39,156,75,56,4200,3,77,6,61,stonex19; twigx6; weedx14
02FarmHo,FarmHouse,FarmHouse,0,0,0,0,0,0,0,0,0,1,1,1,3,3,7,7,
03Town,Town01,Town,268,2,85,4,0,17,156,4,16,127,94,11938,0,126,8,101,stonex2; twigx1; weedx1
03Town,Town02,Town,274,0,95,2,0,17,156,4,16,127,94,11938,0,126,8,101,stonex2; twigx1; weedx1
03Town,Town03,Town,265,0,87,1,0,17,156,4,16,127,94,11938,0,126,8,101,stonex2; twigx1; weedx1
03Town,Town04,Town,265,0,87,1,0,17,156,4,16,127,94,11938,0,126,8,101,stonex2; twigx1; weedx1
03Town,Town05,Town,267,0,88,2,0,17,156,4,16,127,94,11938,0,126,8,101,stonex2; twigx1; weedx1
03Town,Town06,Town,260,1,80,2,0,17,156,4,16,127,94,11938,0,126,8,101,stonex2; twigx1; weedx1
03Town,Town07,Town,270,1,91,1,0,17,156,4,16,127,94,11938,0,126,8,101,stonex2; twigx1; weedx1
03Town,Town08,Town,265,1,85,2,0,17,156,4,16,127,94,11938,0,126,8,101,stonex2; twigx1; weedx1
03Town,Town09,Town,275,1,95,2,0,17,156,4,16,127,94,11938,0,126,8,101,stonex2; twigx1; weedx1
03Town,Town10,Town,263,1,84,1,0,17,156,4,16,127,94,11938,0,126,8,101,stonex2; twigx1; weedx1
03Town,Town11,Town,263,1,84,1,0,17,156,4,16,127,94,11938,0,126,8,101,stonex2; twigx1; weedx1
03Town,Town12,Town,276,5,91,3,0,17,156,4,16,127,94,11938,0,126,8,101,stonex2; twigx1; weedx1
03Town,Town13,Town,263,2,83,1,0,17,156,4,16,127,94,11938,0,126,8,101,stonex2; twigx1; weedx1
03Town,Town14,Town,263,0,84,2,0,17,156,4,16,127,94,11938,0,126,8,101,stonex2; twigx1; weedx1
03Town,Town15,Town,264,0,86,1,0,17,156,4,16,127,94,11938,0,126,8,101,stonex2; twigx1; weedx1
03Town,Town16,Town,275,0,97,1,0,17,156,4,16,127,94,11938,0,126,8,101,stonex2; twigx1; weedx1
03Town,Town17,Town,263,1,83,2,0,17,156,4,16,127,94,11938,0,126,8,101,stonex2; twigx1; weedx1
03Town,Town18,Town,266,2,85,2,0,17,156,4,16,127,94,11938,0,126,8,101,stonex2; twigx1; weedx1
03Town,Town19,Town,263,0,83,3,0,17,156,4,16,127,94,11938,0,126,8,101,stonex2; twigx1; weedx1
03Town,Town20,Town,266,0,87,2,0,17,156,4,16,127,94,11938,0,126,8,101,stonex2; twigx1; weedx1
03Town,Town21,Town,265,1,86,1,0,17,156,4,16,127,94,11938,0,126,8,101,stonex2; twigx1; weedx1
04Beach,Beach01,Beach,0,0,0,0,0,0,0,0,0,64,7,448,11,74,9,15,
04Beach,Beach02,Beach,0,0,0,0,0,0,0,0,0,51,9,459,23,73,9,17,
04Beach,Beach03,Beach,0,0,0,0,0,0,0,0,0,1,1,1,35,35,15,15,
04Beach,Beach04,Beach,0,0,0,0,0,0,0,0,0,58,3,174,24,81,12,14,
04Beach,Beach05,Beach,0,0,0,0,0,0,0,0,0,39,11,429,30,68,7,17,
04Beach,Beach06,Beach,0,0,0,0,0,0,0,0,0,71,9,639,18,88,10,18,
04Beach,Beach07,Beach,0,0,0,0,0,0,0,0,0,19,6,114,17,35,10,15,
04Beach,Beach08,Beach,0,0,0,0,0,0,0,0,0,67,15,1005,14,80,8,22,
04Beach,Beach09,Beach,0,0,0,0,0,0,0,0,0,10,4,40,68,77,20,23,
04Beach,Beach10,Beach,0,0,0,0,0,0,0,0,0,58,12,696,33,90,6,17,
04Beach,Beach11,Beach,0,0,0,0,0,0,0,0,0,50,2,100,33,82,16,17,
04Beach,Beach12,Beach,0,0,0,0,0,0,0,0,0,20,7,140,47,66,16,22,
04Beach,Beach13,Beach,0,0,0,0,0,0,0,0,0,70,9,630,12,81,7,15,
04Beach,Beach14,Beach,0,0,0,0,0,0,0,0,0,16,8,128,33,48,12,19,
04Beach,Beach15,Beach,0,0,0,0,0,0,0,0,0,78,8,624,13,90,8,15,
04Beach,Beach16,Beach,0,0,0,0,0,0,0,0,0,61,12,732,26,86,13,24,
04Beach,Beach17,Beach,0,0,0,0,0,0,0,0,0,32,14,448,11,42,9,22,
04Beach,Beach18,Beach,0,0,0,0,0,0,0,0,0,65,9,585,17,81,10,18,
04Beach,Beach19,Beach,0,0,0,0,0,0,0,0,0,73,9,657,16,88,9,17,
04Beach,Beach20,Beach,0,0,0,0,0,0,0,0,0,1,1,1,78,78,11,11,
04Beach,Beach21,Beach,0,0,0,0,0,0,0,0,0,32,13,416,39,70,6,18,
05Mount,Mount01,Mountain,108,51,0,0,0,10,47,0,0,125,33,4125,3,127,5,37,
05Mount,Mount02,Mountain,111,52,0,0,0,12,47,0,0,124,33,4092,3,126,5,37,
05Mount,Mount03,Mountain,107,50,0,0,0,10,47,0,0,125,33,4125,3,127,5,37,
05Mount,Mount04,Mountain,111,51,0,0,0,13,47,0,0,125,33,4125,3,127,5,37,
05Mount,Mount05,Mountain,115,57,0,0,0,11,47,0,0,125,33,4125,3,127,5,37,
05Mount,Mount06,Mountain,114,54,0,0,0,13,47,0,0,125,33,4125,3,127,5,37,
05Mount,Mount07,Mountain,109,49,0,0,0,13,47,0,0,125,33,4125,3,127,5,37,
05Mount,Mount08,Mountain,128,69,0,0,0,12,47,0,0,125,33,4125,3,127,5,37,
05Mount,Mount09,Mountain,112,56,0,0,0,9,47,0,0,125,33,4125,3,127,5,37,
05Mount,Mount10,Mountain,115,56,0,0,0,12,47,0,0,125,33,4125,3,127,5,37,
05Mount,Mount11,Mountain,117,58,0,0,0,12,47,0,0,125,33,4125,3,127,5,37,
05Mount,Mount12,Mountain,114,56,0,0,0,11,47,0,0,125,33,4125,3,127,5,37,
05Mount,Mount13,Mountain,112,54,0,0,0,11,47,0,0,125,33,4125,3,127,5,37,
05Mount,Mount14,Mountain,113,56,0,0,0,10,47,0,0,125,33,4125,3,127,5,37,
05Mount,Mount15,Mountain,120,61,0,0,0,12,47,0,0,125,33,4125,3,127,5,37,
05Mount,Mount16,Mountain,114,55,0,0,0,12,47,0,0,125,33,4125,3,127,5,37,
05Mount,Mount17,Mountain,117,55,0,0,0,15,47,0,0,125,33,4125,3,127,5,37,
05Mount,Mount18,Mountain,110,54,0,0,0,9,47,0,0,125,33,4125,3,127,5,37,
05Mount,Mount19,Mountain,110,49,0,0,0,14,47,0,0,125,33,4125,3,127,5,37,
05Mount,Mount20,Mountain,113,56,0,0,0,10,47,0,0,125,33,4125,3,127,5,37,
05Mount,Mount21,Mountain,117,61,0,0,0,9,47,0,0,125,33,4125,3,127,5,37,
06Forest,Forest01,Forest,475,4,130,45,13,55,227,1,4,119,95,11305,1,119,5,99,twigx1
06Forest,Forest02,Forest,453,4,110,43,13,55,227,1,4,119,95,11305,1,119,5,99,twigx1
06Forest,Forest03,Forest,473,7,128,42,13,55,227,1,4,119,95,11305,1,119,5,99,twigx1
06Forest,Forest04,Forest,465,8,119,42,13,55,227,1,4,119,95,11305,1,119,5,99,twigx1
06Forest,Forest05,Forest,461,3,119,43,13,55,227,1,4,119,95,11305,1,119,5,99,twigx1
06Forest,Forest06,Forest,475,4,128,47,13,55,227,1,4,119,95,11305,1,119,5,99,twigx1
06Forest,Forest07,Forest,452,3,113,40,13,55,227,1,4,119,95,11305,1,119,5,99,twigx1
06Forest,Forest08,Forest,494,8,146,44,13,55,227,1,4,119,95,11305,1,119,5,99,twigx1
06Forest,Forest09,Forest,479,5,129,49,13,55,227,1,4,119,95,11305,1,119,5,99,twigx1
06Forest,Forest10,Forest,459,6,112,45,13,55,227,1,4,119,95,11305,1,119,5,99,twigx1
06Forest,Forest11,Forest,443,3,101,43,13,55,227,1,4,119,95,11305,1,119,5,99,twigx1
06Forest,Forest12,Forest,457,2,115,44,13,55,227,1,4,119,95,11305,1,119,5,99,twigx1
06Forest,Forest13,Forest,460,3,120,41,13,55,227,1,4,119,95,11305,1,119,5,99,twigx1
06Forest,Forest14,Forest,453,3,110,44,13,55,227,1,4,119,95,11305,1,119,5,99,twigx1
06Forest,Forest15,Forest,468,8,120,44,13,55,227,1,4,119,95,11305,1,119,5,99,twigx1
06Forest,Forest16,Forest,466,10,117,43,13,55,227,1,4,119,95,11305,1,119,5,99,twigx1
06Forest,Forest17,Forest,451,1,110,44,13,55,227,1,4,119,95,11305,1,119,5,99,twigx1
06Forest,Forest18,Forest,468,2,123,47,13,55,227,1,4,119,95,11305,1,119,5,99,twigx1
06Forest,Forest19,Forest,464,4,117,47,13,55,227,1,4,119,95,11305,1,119,5,99,twigx1
06Forest,Forest20,Forest,464,7,120,41,13,55,227,1,4,119,95,11305,1,119,5,99,twigx1
06Forest,Forest21,Forest,477,4,131,46,13,55,227,1,4,119,95,11305,1,119,5,99,twigx1
07BusSt,BusSt01,BusStop,24,0,0,0,0,4,20,0,0,61,20,1220,1,61,1,20,
07BusSt,BusSt02,BusStop,24,0,0,0,0,4,20,0,0,61,20,1220,1,61,1,20,
07BusSt,BusSt03,BusStop,24,0,0,0,0,4,20,0,0,61,20,1220,1,61,1,20,
07BusSt,BusSt04,BusStop,24,0,0,0,0,4,20,0,0,61,20,1220,1,61,1,20,
07BusSt,BusSt05,BusStop,24,0,0,0,0,4,20,0,0,61,20,1220,1,61,1,20,
07BusSt,BusSt06,BusStop,24,0,0,0,0,4,20,0,0,61,20,1220,1,61,1,20,
07BusSt,BusSt07,BusStop,24,0,0,0,0,4,20,0,0,61,20,1220,1,61,1,20,
07BusSt,BusSt08,BusStop,24,0,0,0,0,4,20,0,0,61,20,1220,1,61,1,20,
07BusSt,BusSt09,BusStop,24,0,0,0,0,4,20,0,0,61,20,1220,1,61,1,20,
07BusSt,BusSt10,BusStop,24,0,0,0,0,4,20,0,0,61,20,1220,1,61,1,20,
07BusSt,BusSt11,BusStop,24,0,0,0,0,4,20,0,0,61,20,1220,1,61,1,20,
07BusSt,BusSt12,BusStop,24,0,0,0,0,4,20,0,0,61,20,1220,1,61,1,20,
07BusSt,BusSt13,BusStop,24,0,0,0,0,4,20,0,0,61,20,1220,1,61,1,20,
07BusSt,BusSt14,BusStop,24,0,0,0,0,4,20,0,0,61,22,1342,1,61,1,22,
07BusSt,BusSt15,BusStop,24,0,0,0,0,4,20,0,0,61,20,1220,1,61,1,20,
07BusSt,BusSt16,BusStop,24,0,0,0,0,4,20,0,0,61,23,1403,1,61,1,23,
07BusSt,BusSt17,BusStop,24,0,0,0,0,4,20,0,0,61,20,1220,1,61,1,20,
07BusSt,BusSt18,BusStop,24,0,0,0,0,4,20,0,0,61,20,1220,1,61,1,20,
07BusSt,BusSt19,BusStop,24,0,0,0,0,4,20,0,0,61,20,1220,1,61,1,20,
07BusSt,BusSt20,BusStop,24,0,0,0,0,4,20,0,0,61,20,1220,1,61,1,20,
07BusSt,BusSt21,BusStop,24,0,0,0,0,4,20,0,0,61,20,1220,1,61,1,20,
08Mine,Mine,Mine,0,0,0,0,0,0,0,0,0,1,1,1,27,27,8,8,
09Bug,Bug01,BugLand,176,36,140,0,0,0,0,0,0,43,47,2021,11,53,6,52,
09Bug,Bug02,BugLand,176,36,140,0,0,0,0,0,0,43,47,2021,11,53,6,52,
09Bug,Bug03,BugLand,176,36,140,0,0,0,0,0,0,43,47,2021,11,53,6,52,
09Bug,Bug04,BugLand,176,36,140,0,0,0,0,0,0,43,47,2021,11,53,6,52,
09Bug,Bug05,BugLand,176,36,140,0,0,0,0,0,0,43,47,2021,11,53,6,52,
09Bug,Bug06,BugLand,176,36,140,0,0,0,0,0,0,43,47,2021,11,53,6,52,
09Bug,Bug07,BugLand,176,36,140,0,0,0,0,0,0,43,47,2021,11,53,6,52,
09Bug,Bug08,BugLand,176,36,140,0,0,0,0,0,0,43,47,2021,11,53,6,52,
09Bug,Bug09,BugLand,176,36,140,0,0,0,0,0,0,43,47,2021,11,53,6,52,
09Bug,Bug10,BugLand,176,36,140,0,0,0,0,0,0,43,47,2021,11,53,6,52,
09Bug,Bug11,BugLand,176,36,140,0,0,0,0,0,0,43,47,2021,11,53,6,52,
09Bug,Bug12,BugLand,176,36,140,0,0,0,0,0,0,43,47,2021,11,53,6,52,
09Bug,Bug13,BugLand,176,36,140,0,0,0,0,0,0,43,47,2021,11,53,6,52,
09Bug,Bug14,BugLand,176,36,140,0,0,0,0,0,0,43,47,2021,11,53,6,52,
09Bug,Bug15,BugLand,176,36,140,0,0,0,0,0,0,43,47,2021,11,53,6,52,
09Bug,Bug16,BugLand,176,36,140,0,0,0,0,0,0,43,47,2021,11,53,6,52,
09Bug,Bug17,BugLand,176,36,140,0,0,0,0,0,0,43,47,2021,11,53,6,52,
09Bug,Bug18,BugLand,176,36,140,0,0,0,0,0,0,43,47,2021,11,53,6,52,
09Bug,Bug19,BugLand,176,36,140,0,0,0,0,0,0,43,47,2021,11,53,6,52,
09Bug,Bug20,BugLand,176,36,140,0,0,0,0,0,0,43,47,2021,11,53,6,52,
09Bug,Bug21,BugLand,176,36,140,0,0,0,0,0,0,43,47,2021,11,53,6,52,
10Desert,Desert01,Desert,11,0,0,0,0,11,0,0,0,33,42,1386,6,38,8,49,
10Desert,Desert02,Desert,11,0,0,0,0,11,0,0,0,38,42,1596,6,43,8,49,
10Desert,Desert03,Desert,11,0,0,0,0,11,0,0,0,40,43,1720,6,45,7,49,
10Desert,Desert04,Desert,11,0,0,0,0,11,0,0,0,36,42,1512,6,41,8,49,
10Desert,Desert05,Desert,11,0,0,0,0,11,0,0,0,39,42,1638,6,44,8,49,
10Desert,Desert06,Desert,11,0,0,0,0,11,0,0,0,39,47,1833,6,44,6,52,
10Desert,Desert07,Desert,11,0,0,0,0,11,0,0,0,40,45,1800,1,40,8,52,
10Desert,Desert08,Desert,11,0,0,0,0,11,0,0,0,40,50,2000,4,43,6,55,
10Desert,Desert09,Desert,11,0,0,0,0,11,0,0,0,39,42,1638,6,44,8,49,
10Desert,Desert10,Desert,11,0,0,0,0,11,0,0,0,33,42,1386,6,38,8,49,
10Desert,Desert11,Desert,11,0,0,0,0,11,0,0,0,42,47,1974,2,43,8,54,
10Desert,Desert12,Desert,11,0,0,0,0,11,0,0,0,33,42,1386,6,38,8,49,
10Desert,Desert13,Desert,11,0,0,0,0,11,0,0,0,33,42,1386,6,38,8,49,
10Desert,Desert14,Desert,11,0,0,0,0,11,0,0,0,40,42,1680,6,45,8,49,
10Desert,Desert15,Desert,11,0,0,0,0,11,0,0,0,33,44,1452,6,38,6,49,
10Desert,Desert16,Desert,11,0,0,0,0,11,0,0,0,38,42,1596,6,43,8,49,
10Desert,Desert17,Desert,11,0,0,0,0,11,0,0,0,34,48,1632,5,38,8,55,
10Desert,Desert18,Desert,11,0,0,0,0,11,0,0,0,35,45,1575,4,38,8,52,
10Desert,Desert19,Desert,11,0,0,0,0,11,0,0,0,40,42,1680,6,45,8,49,
10Desert,Desert20,Desert,11,0,0,0,0,11,0,0,0,43,47,2021,3,45,7,53,
10Desert,Desert21,Desert,11,0,0,0,0,11,0,0,0,33,42,1386,6,38,8,49,
11Wood,Wood01,Woods,76,0,0,0,0,0,70,6,24,53,27,1431,3,55,4,30,stonex6
11Wood,Wood02,Woods,76,0,0,0,0,0,70,6,24,53,27,1431,3,55,4,30,stonex6
11Wood,Wood03,Woods,76,0,0,0,0,0,70,6,24,53,27,1431,3,55,4,30,stonex6
11Wood,Wood04,Woods,76,0,0,0,0,0,70,6,24,53,27,1431,3,55,4,30,stonex6
11Wood,Wood05,Woods,76,0,0,0,0,0,70,6,24,53,27,1431,3,55,4,30,stonex6
11Wood,Wood06,Woods,76,0,0,0,0,0,70,6,24,53,27,1431,3,55,4,30,stonex6
11Wood,Wood07,Woods,76,0,0,0,0,0,70,6,24,53,27,1431,3,55,4,30,stonex6
11Wood,Wood08,Woods,76,0,0,0,0,0,70,6,24,53,27,1431,3,55,4,30,stonex6
11Wood,Wood09,Woods,76,0,0,0,0,0,70,6,24,53,27,1431,3,55,4,30,stonex6
11Wood,Wood10,Woods,76,0,0,0,0,0,70,6,24,53,27,1431,3,55,4,30,stonex6
11Wood,Wood11,Woods,76,0,0,0,0,0,70,6,24,53,27,1431,3,55,4,30,stonex6
11Wood,Wood12,Woods,76,0,0,0,0,0,70,6,24,53,27,1431,3,55,4,30,stonex6
11Wood,Wood13,Woods,76,0,0,0,0,0,70,6,24,53,27,1431,3,55,4,30,stonex6
11Wood,Wood14,Woods,76,0,0,0,0,0,70,6,24,53,27,1431,3,55,4,30,stonex6
11Wood,Wood15,Woods,76,0,0,0,0,0,70,6,24,53,27,1431,3,55,4,30,stonex6
11Wood,Wood16,Woods,76,0,0,0,0,0,70,6,24,53,27,1431,3,55,4,30,stonex6
11Wood,Wood17,Woods,76,0,0,0,0,0,70,6,24,53,27,1431,3,55,4,30,stonex6
11Wood,Wood18,Woods,76,0,0,0,0,0,70,6,24,53,27,1431,3,55,4,30,stonex6
11Wood,Wood19,Woods,76,0,0,0,0,0,70,6,24,53,27,1431,3,55,4,30,stonex6
11Wood,Wood20,Woods,76,0,0,0,0,0,70,6,24,53,27,1431,3,55,4,30,stonex6
11Wood,Wood21,Woods,76,0,0,0,0,0,70,6,24,53,27,1431,3,55,4,30,stonex6
12Rail,Rail01,Railroad,104,25,57,2,0,6,14,0,0,65,36,2340,2,66,22,57,
12Rail,Rail02,Railroad,83,24,36,3,0,6,14,0,0,65,36,2340,2,66,22,57,
12Rail,Rail03,Railroad,89,24,42,3,0,6,14,0,0,65,36,2340,2,66,22,57,
12Rail,Rail04,Railroad,99,26,49,4,0,6,14,0,0,65,36,2340,2,66,22,57,
12Rail,Rail05,Railroad,97,25,49,3,0,6,14,0,0,65,36,2340,2,66,22,57,
12Rail,Rail06,Railroad,96,26,45,5,0,6,14,0,0,65,36,2340,2,66,22,57,
12Rail,Rail07,Railroad,97,29,45,3,0,6,14,0,0,65,36,2340,2,66,22,57,
12Rail,Rail08,Railroad,103,24,58,1,0,6,14,0,0,65,38,2470,2,66,22,59,
12Rail,Rail09,Railroad,85,23,38,4,0,6,14,0,0,65,36,2340,2,66,22,57,
12Rail,Rail10,Railroad,81,24,33,4,0,6,14,0,0,65,36,2340,2,66,22,57,
12Rail,Rail11,Railroad,98,24,50,4,0,6,14,0,0,65,36,2340,2,66,22,57,
12Rail,Rail12,Railroad,93,27,43,3,0,6,14,0,0,65,36,2340,2,66,22,57,
12Rail,Rail13,Railroad,92,23,46,3,0,6,14,0,0,65,36,2340,2,66,22,57,
12Rail,Rail14,Railroad,98,23,53,2,0,6,14,0,0,65,36,2340,2,66,22,57,
12Rail,Rail15,Railroad,87,25,36,6,0,6,14,0,0,65,36,2340,2,66,22,57,
12Rail,Rail16,Railroad,92,24,45,3,0,6,14,0,0,65,36,2340,2,66,22,57,
12Rail,Rail17,Railroad,87,24,39,4,0,6,14,0,0,65,36,2340,2,66,22,57,
12Rail,Rail18,Railroad,92,24,44,4,0,6,14,0,0,65,36,2340,2,66,22,57,
12Rail,Rail19,Railroad,81,23,36,2,0,6,14,0,0,65,36,2340,2,66,22,57,
12Rail,Rail20,Railroad,90,23,43,4,0,6,14,0,0,65,36,2340,2,66,22,57,
12Rail,Rail21,Railroad,98,26,48,4,0,6,14,0,0,65,36,2340,2,66,22,57,
13BackW,BackW01,Backwoods,38,0,0,0,0,3,35,0,0,39,26,1014,11,49,8,33,
13BackW,BackW02,Backwoods,38,0,0,0,0,3,35,0,0,39,26,1014,11,49,8,33,
13BackW,BackW03,Backwoods,38,0,0,0,0,3,35,0,0,39,26,1014,11,49,8,33,
13BackW,BackW04,Backwoods,38,0,0,0,0,3,35,0,0,39,26,1014,11,49,8,33,
13BackW,BackW05,Backwoods,38,0,0,0,0,3,35,0,0,39,26,1014,11,49,8,33,
13BackW,BackW06,Backwoods,38,0,0,0,0,3,35,0,0,39,26,1014,11,49,8,33,
13BackW,BackW07,Backwoods,38,0,0,0,0,3,35,0,0,39,26,1014,11,49,8,33,
13BackW,BackW08,Backwoods,38,0,0,0,0,3,35,0,0,39,26,1014,11,49,8,33,
13BackW,BackW09,Backwoods,38,0,0,0,0,3,35,0,0,39,26,1014,11,49,8,33,
13BackW,BackW10,Backwoods,38,0,0,0,0,3,35,0,0,39,26,1014,11,49,8,33,
13BackW,BackW11,Backwoods,38,0,0,0,0,3,35,0,0,39,26,1014,11,49,8,33,
13BackW,BackW12,Backwoods,38,0,0,0,0,3,35,0,0,39,26,1014,11,49,8,33,
13BackW,BackW13,Backwoods,38,0,0,0,0,3,35,0,0,39,26,1014,11,49,8,33,
13BackW,BackW14,Backwoods,38,0,0,0,0,3,35,0,0,39,26,1014,11,49,8,33,
13BackW,BackW15,Backwoods,38,0,0,0,0,3,35,0,0,39,26,1014,11,49,8,33,
13BackW,BackW16,Backwoods,38,0,0,0,0,3,35,0,0,39,26,1014,11,49,8,33,
13BackW,BackW17,Backwoods,38,0,0,0,0,3,35,0,0,39,26,1014,11,49,8,33,
13BackW,BackW18,Backwoods,38,0,0,0,0,3,35,0,0,39,26,1014,11,49,8,33,
13BackW,BackW19,Backwoods,38,0,0,0,0,3,35,0,0,39,26,1014,11,49,8,33,
13BackW,BackW20,Backwoods,38,0,0,0,0,3,35,0,0,39,26,1014,11,49,8,33,
13BackW,BackW21,Backwoods,38,0,0,0,0,3,35,0,0,39,26,1014,11,49,8,33,
14Cellar,Cellar,Cellar,0,0,0,0,0,0,0,0,0,11,5,55,6,16,8,12,
15IslS,IslS01,IslandSouth,1,0,0,0,0,0,1,0,0,1,1,1,31,31,5,5,
15IslS,IslS02,IslandSouth,1,0,0,0,0,0,1,0,0,1,1,1,31,31,5,5,
15IslS,IslS03,IslandSouth,1,0,0,0,0,0,1,0,0,20,24,480,12,31,5,28,
15IslS,IslS04,IslandSouth,1,0,0,0,0,0,1,0,0,1,1,1,31,31,5,5,
15IslS,IslS05,IslandSouth,1,0,0,0,0,0,1,0,0,1,1,1,31,31,5,5,
15IslS,IslS06,IslandSouth,1,0,0,0,0,0,1,0,0,12,25,300,20,31,5,29,
15IslS,IslS07,IslandSouth,1,0,0,0,0,0,1,0,0,1,1,1,31,31,5,5,
15IslS,IslS08,IslandSouth,1,0,0,0,0,0,1,0,0,13,25,325,19,31,5,29,
15IslS,IslS09,IslandSouth,1,0,0,0,0,0,1,0,0,11,23,253,21,31,5,27,
15IslS,IslS10,IslandSouth,1,0,0,0,0,0,1,0,0,1,1,1,31,31,5,5,
15IslS,IslS11,IslandSouth,1,0,0,0,0,0,1,0,0,1,1,1,31,31,5,5,
15IslS,IslS12,IslandSouth,1,0,0,0,0,0,1,0,0,1,1,1,31,31,5,5,
15IslS,IslS13,IslandSouth,1,0,0,0,0,0,1,0,0,1,1,1,31,31,5,5,
15IslS,IslS14,IslandSouth,1,0,0,0,0,0,1,0,0,3,23,69,29,31,5,27,
15IslS,IslS15,IslandSouth,1,0,0,0,0,0,1,0,0,20,13,260,12,31,5,17,
15IslS,IslS16,IslandSouth,1,0,0,0,0,0,1,0,0,1,1,1,31,31,5,5,
15IslS,IslS17,IslandSouth,1,0,0,0,0,0,1,0,0,28,9,252,4,31,5,13,
15IslS,IslS18,IslandSouth,1,0,0,0,0,0,1,0,0,1,1,1,31,31,5,5,
15IslS,IslS19,IslandSouth,1,0,0,0,0,0,1,0,0,16,8,128,16,31,5,12,
15IslS,IslS20,IslandSouth,1,0,0,0,0,0,1,0,0,23,18,414,9,31,5,22,
15IslS,IslS21,IslandSouth,1,0,0,0,0,0,1,0,0,1,1,1,31,31,5,5,
16IslE,IslE01,IslandEast,15,0,1,0,0,0,14,0,0,18,16,288,11,28,28,43,
16IslE,IslE02,IslandEast,16,0,2,0,0,0,14,0,0,21,16,336,10,30,28,43,
16IslE,IslE03,IslandEast,15,0,1,0,0,0,14,0,0,18,17,306,11,28,28,44,
16IslE,IslE04,IslandEast,17,0,3,0,0,0,14,0,0,23,16,368,10,32,28,43,
16IslE,IslE05,IslandEast,16,0,2,0,0,0,14,0,0,18,17,306,11,28,27,43,
16IslE,IslE06,IslandEast,14,0,0,0,0,0,14,0,0,18,16,288,11,28,28,43,
16IslE,IslE07,IslandEast,15,0,1,0,0,0,14,0,0,18,16,288,11,28,28,43,
16IslE,IslE08,IslandEast,21,0,7,0,0,0,14,0,0,19,21,399,10,28,27,47,
16IslE,IslE09,IslandEast,14,0,0,0,0,0,14,0,0,18,16,288,11,28,28,43,
16IslE,IslE10,IslandEast,14,0,0,0,0,0,14,0,0,18,16,288,11,28,28,43,
16IslE,IslE11,IslandEast,14,0,0,0,0,0,14,0,0,18,16,288,11,28,28,43,
16IslE,IslE12,IslandEast,16,0,2,0,0,0,14,0,0,18,16,288,11,28,28,43,
16IslE,IslE13,IslandEast,17,0,3,0,0,0,14,0,0,18,19,342,11,28,28,46,
